# Trim off (strip away) any leading/trailing white space characters (' ', '\t', '\r', '\n')
#   from each line / field

# Ignore blank lines and comment lines (begins with pound sign '#')

# A line may be terminated with a LF ('\n') or a CRLF ('\r', '\n')

# The vertical bar '|' is used as the field delimiter within each record

# Table of Ticket Records
#   Field headings:
#     Type|Date|Time|Number|GrossWeight|TareWeight|MoistureLevel|ForeignMaterial
#
#     Type  : Wheat, Soybean, or Grain Sorghum
#     Date  : Date of ticket (yyyy-mm-dd)
#     Time  : Time of ticket (hh:mm:ss, 24hour)
#     Number: Ticket number (alphanumeric)
#     GrossWeight: Gross weight of load (including grain) in pounds (integer)
#     TareWeight : Empty weight of load (excluding grain) in pounds (integer)
#     MoistureLevel  : Percent of moisture level   detected in grain sample (real, 2 decimal points)
#     ForeignMaterial: Percent of foreign material detected in grain sample (real, 2 decimal points)

Wheat         | 2017-06-18 | 11:14:00 | 42093   | 32303 | 10780 | 14.60 | 0.99
Wheat         | 2017-06-19 | 11:55:00 | 42113   | 32307 | 10780 | 14.00 | 0.94
Wheat         | 2017-06-19 | 12:46:00 | 42118   | 32339 | 10775 | 13.40 | 0.32
Wheat         | 2017-06-19 | 13:33:00 | 42126   | 32444 | 10770 | 12.90 | 0.37
Wheat         | 2017-06-19 | 14:15:00 | 42133   | 32636 | 10765 | 12.50 | 0.54
Wheat         | 2017-06-19 | 15:04:00 | 42149   | 32857 | 10760 | 12.10 | 0.83
Wheat         | 2017-06-19 | 15:58:00 | 42171   | 32816 | 10750 | 11.70 | 0.43
Wheat         | 2017-06-19 | 16:47:00 | 42195   | 32786 | 10745 | 11.60 | 0.95
Wheat         | 2017-06-20 | 12:45:00 | 42219   | 32572 | 10780 | 12.00 | 0.02
Wheat         | 2017-06-20 | 13:34:00 | 42230   | 30600 | 10775 | 13.30 | 0.43
Wheat         | 2017-06-20 | 14:20:00 | 42242   | 32407 | 10770 | 13.10 | 0.94
Wheat         | 2017-06-20 | 14:58:00 | 42258   | 32654 | 10765 | 12.30 | 0.99
Wheat         | 2017-06-20 | 15:36:00 | 42278   | 33112 | 10760 | 11.50 | 0.73
Wheat         | 2017-06-20 | 16:13:00 | 42298   | 33319 | 10750 | 11.00 | 0.63
Wheat         | 2017-06-20 | 17:01:00 | 42328   | 33949 | 10745 | 10.80 | 0.00
Wheat         | 2017-06-20 | 18:03:00 | 42369   | 34436 | 10735 | 10.80 | 0.61
Wheat         | 2017-06-21 | 11:30:00 | 42407   | 33692 | 10780 | 11.50 | 0.81
Wheat         | 2017-06-21 | 12:25:00 | 42419   | 33467 | 10775 | 11.20 | 0.63
Wheat         | 2017-06-21 | 13:11:00 | 42435   | 33245 | 10770 | 10.90 | 0.39
Wheat         | 2017-06-21 | 13:55:00 | 42460   | 32859 | 10765 | 10.50 | 0.29
Wheat         | 2017-06-21 | 14:43:00 | 42485   | 33073 | 10760 | 10.20 | 0.99
Wheat         | 2017-06-21 | 15:56:00 | 42506   | 33002 | 10750 | 10.20 | 0.02
Wheat         | 2017-06-21 | 16:50:00 | 42527   | 33207 | 10745 | 10.20 | 0.08
Wheat         | 2017-06-21 | 17:33:00 | 42536   | 21958 | 10735 | 10.20 | 0.50
Wheat         | 2017-06-21 | 18:25:00 | 42400   | 23778 | 10730 | 11.00 | 0.21
Wheat         | 2017-06-22 | 13:30:00 | 42581   | 32417 | 10780 | 11.10 | 0.30
Wheat         | 2017-06-23 | 11:10:00 | 42761   | 31941 | 10775 | 12.70 | 0.04
Wheat         | 2017-06-23 | 11:24:00 | 42755   | 31821 | 10780 | 13.20 | 0.43
Wheat         | 2017-06-23 | 12:03:00 | 42781   | 32310 | 10770 | 12.60 | 0.51
Wheat         | 2017-06-23 | 12:54:00 | 42792   | 32520 | 10765 | 12.40 | 0.85
Wheat         | 2017-06-23 | 13:46:00 | 42815   | 32632 | 10760 | 12.10 | 0.48
Wheat         | 2017-06-23 | 14:32:00 | 42833   | 31985 | 10750 | 11.70 | 0.86
Wheat         | 2017-06-23 | 15:26:00 | 42855   | 32896 | 10745 | 11.40 | 0.66
Wheat         | 2017-06-23 | 16:47:00 | 42879   | 32711 | 10735 | 11.30 | 0.05
Wheat         | 2017-06-24 | 12:24:00 | 42898   | 33033 | 10780 | 11.70 | 0.75
Wheat         | 2017-06-24 | 13:36:00 | 42909   | 32841 | 10775 | 12.50 | 0.44
Wheat         | 2017-06-24 | 14:03:00 | 42929   | 33449 | 10770 | 12.30 | 0.48
Wheat         | 2017-06-24 | 14:52:00 | 42945   | 32907 | 10765 | 12.00 | 0.50
